발언내용,2021일부,2021전체
최소한의 원칙에 따라서 재배치하도록 하겠습니다.,긍정,중립
이상입니다.,긍정,중립
"""오전 범교과 운영체제에 대한 질의를 마저 하도록 하겠습니다. 범교과 학습 주제와 저희 교과 교육과정 관계에 대해서 제가 여러 가지 많은 생각을 하고, 일단은 우리 사회가 되게 많은 변화를 겪으면서 이런 국가 사회적으로 요구되는 그런 학습내용이 새롭게 나타나는 것은 어쩔 수 없다고 생각합니다. 그런데 그것이 우리가 현재 갖고 있는 교육 교과과정이나 이런 것들을 상당히 혼란스럽게 하거나 부담이 되게 하는 이런 요인들은 어떤 형태로든 정리되어야 함이 마땅하다는 생각을 갖고 있고요. 그리고 그런 점에서 아까 제가 그래서 여러 자료들을 찾다 보니 교육부에서 범교과 학습 주제와 교과 교육과정 연결 맵이라는 이런 교수학습 자료를 발행했습니다. 보신 적 있으시지요?""",중립,긍정
"""민주시민 교육이 특정한 곳에서만 따로 할 수 있는 게 아니라 우리 교육의 목적이 그렇기 때문에 그 교육목적 하에서 만들어진 우리의 교과과정은 그 목적을 충실히 이행하고 있다고 저는 생각하는데, 우리 국장님 생각은 어떠십니까?""",중립,긍정
"""그래서 지금 화두가 되고 있는 생태전환교육이라든지 환경ㆍ지속가능한 발전, 이런 영역에 있어서도 지금 여기에 초중고등학교의 그 영역이 다 탑재되어 있습니다, 저희 교육과정에. 그래서 이것을 제가 이렇게 죽죽 접어놓은 것들이 바로 그런 환경과 관련한 지속가능한 발전 그리고 생태전환교육 이러한 내용들을 핵심적으로 갖고 있는 것이에요. 그러니까 이 교육이 충실하게 진행이 된다면 저희가 따로 범교과 학습 주제 이런 내용들을 가질 이유가 있겠는가 하는 생각이 들고요. 그리고 그런 것들이 강조되어야 한다면 강조된다 하더라도 그것이 기본적인 우리 교과, 아까 말씀하신 것처럼 교과과정에 충분히 흡수되어서 진행될 수 있도록 그렇게 노력해 주시는 것이 지금 교육청의 교육정책국에서 해야 할 일이 아닌가 하는 생각이 드는데 이에 대해서 국장님 어떻게 생각하십니까?""",중립,긍정
그리고 총량제에 대해서 말씀드린 거에 대해서는 신중하게 검토하셔서 보고해 주시기 바랍니다.,긍정,중립
"""26%, 그러면 조금 자료가 잘못되신 거네요, 국장님 갖고 계신 게. 그렇죠, 저희가 직접 조사한 거랑?""",중립,부정
"""좋습니다. 보니까 방금 말씀하신 것처럼 서울시 전입금이 투입이 되기 시작하는데요 자치구에도 한번 의사를 물어보시면 좋을 것 같아요. 자치구하고 협력 사업을 하셔서 놀이터에 있어서, 자치구들은 지금 각 놀이터들을 만드는 데 상당한 심혈을 기울이는데 결과물이 좋지는 않습니다. 아무래도 학부모님들의 입장에서는 아이들이 그냥 동네에 있는 놀이터는 조금 보내는 게 불안전하신 건 있으시겠죠, 지금 사회가 어둡다 보니까. 하지만 학교 놀이터는 조금 다르게 생각하실 수 있습니다.""",긍정,중립
유아교육과 관련해서는 유아교육과장님이 전반적으로 실무를 다 하고 있습니까?,긍정,중립
"""그래서 거기에 계셨던 원장님께서 사실은 근무한 기간이 1년 반 정도가 됐는데요 아마 트라우마에 시달리고 이런 부분이 있어서 다른 데로 전보를 요청했겠죠. 그래서 전보를 단행했어요, 그분이. 그분이 또 얼마 지나지 않아서 또 전보를 받은 거예요. 이런 사례가 흔한 사례인가요?""",중립,부정
저는 특별한 또 다른 이유가 있지 않다면 이것은 불합리하다는 것을 거의 찾지를 못했거든요. 원래는 초등이나 중등에서도 신규학교 생길 때마다…….,부정,중립
그러면 8년을 했어요. 평교사로 내려오는 게 맞지 않겠습니까? 그렇지요?,긍정,중립
죄송합니다. 다시 한번 말씀해 주시면…….,부정,중립
왜 원장 8년을 한 사람들이 평교사로 내려오지 않는 이유가 뭐냐?,중립,부정
"""그러니까 그렇게 만들고 있지 않습니까, 의도적으로?""",부정,중립
일단은 그거라도 잘 준수해 주셨으면 좋겠다. 말씀 안 드려도 이유는 우리 국장님께서 더 잘 아시잖아요? 그렇죠?,긍정,부정
인사관리 원칙에 근거해서 진행된 겁니다.,긍정,중립
그리고 보통 보시면 공모제 원장님이 임기를 다 못 채우고 있어요. 자꾸 왜 이렇게 인사발령을 내는지 그것과 관련해서 일단 답변을 부탁드립니다.,부정,중립
공모제 사례가 저희가 그렇게 많지는 않은데요 부득이하게 진행이 됐습니다.,부정,중립
우리도 그 과정을 잘 살펴봐서 다 알고 있습니다. 그다음에 또 한 가지 제가 말씀을 드릴게요. 이런 결과가 있다 보니까 어떤 문제가 발생되냐면 특정 유치원을 거명해서 좀 미안한 측면도 있는데요 우리 노원에 노일유치원이 있습니다. 우리 오필순 과장님도 노일유치원 원장 하셨죠?,부정,긍정
그게 인사원칙에 더 우선하는 사항인가요?,긍정,중립
천재지변이 됐든 여하튼 관리자의 책임에 일정 부분 영향을 미칠 수 있다고 생각하지 않습니까?,부정,중립
"""교육가족이니까 그렇게 해석하실 수도 있겠죠. 저희가 전반기 때 상도유치원 현장도 다 방문을 했고요 어떤 문제가 있었는지 우리도 소상히, 우리 과장님이 아는 것보다 저희 위원들이 더 심도 있게 알고 있습니다. 저희는 그렇게 생각하지 않습니다. 어떤 현상이 일어나든 전조현상은 당연히 나타나도록 돼 있고요 그 전조현상에 대해서 얼마만큼 관리자가 잘 대처하느냐에 따라서 문제는 180도 달라질 수 있는 사안입니다. 그런데 그걸 아주 대응을 잘했다고 표현을 하십니까? 역량이 있다고 표현하십니까?""",중립,긍정
인재이긴 한데 그건 다른 외부의 조건에 의해서라고 보고요 관리자로서는 어쨌든 할 수 있는 최선은 다했다고 보이는데요.,긍정,중립
그래서 객관적인 지정을…….,긍정,중립
"""성동구 출신 이동현입니다. 어제에 이어서 오늘도 계속해서 감사가 진행되고 있는데요 고생 많으십니다. 국장님, 일단 간단하게 저는 두 가지 정도를 여쭤보려고 합니다. 먼저 오늘은 도서관 운영과 관련이 아니라요 도서관 안에서의 다른 이야기인데요. 우리 서울특별시교육청에 부설 도서관들이 있습니다. 평생학습관이 있고요. 같이 있는데 도서관마다 책을 구매하는, 구매결정하는 조건이라든지 아니면 구매결정의 이유에 따른 심의회라든지 이런 게 구성되어 있습니까?""",긍정,중립
"""네, 좋습니다. 운영비의 일정을 하는데, 제가 그러면 이 두 가지를 다 물어보고 싶었는데, 그러면 제가 교육청 소관에 있는 도서관은 평생국에 물어보고요. 학교마다 구매결정을 하는 조건이 다 다른 이유는 어디에 있습니까?""",긍정,중립
"""그러면 제가 자료요청 하나 드리면요 혹시 학교마다 도서관에 대출제한이 되어 있는 책이 있을 겁니다. 물론 학교도서관에서 구매를 하기 전에 사회적으로 문제가 돼 있거나 아니면 논란의 여지가 있어서 구매를 하지 않는 경우도 있겠지만 구매를 하고 보니까 법적인 문제라든지 이런 게 걸려서 제한이 될 수도 있습니다. 그런데 어느 학교에서는 그거를 눈치 채지 못하고 혹은 사회적 기류를 반영하지 못해서 그냥 둔 상황도 있고, 아니면 혹은……. 그러니까 학교에서 일률적으로 도서제한이 되든가 아니면 일률적으로 구매하지 말든가 돼야 되는데 지금 말씀하신 것처럼 학교마다 전부 다 다르면 어느 학교는 구매하고 어느 학교는 구매하지 않거나 혹은 어느 학교는 대출제한이 안 돼 있는데 어느 학교는 대출이 되거나 이러면 우리 교육행정의 일관성이 떨어지는 거지 않습니까? 그런 부분들이 분명히 지금 존재하고 있는 것 같습니다. 그 부분에 대해서 한번 전수조사라든지 자료조사가 좀 필요할 것 같습니다.""",부정,중립
좋습니다. 그러면 그 부분에 있어서 없다고 말씀하셨으니까 믿고 저도 따로 자료조사를 했을 때 불필요한 이야기가 안 나왔으면 좋겠습니다. 다음은 유치원과 관련해서 말씀을 드리고 싶은데요. 국장님은 유치원 자녀분이 있는지는 제가 잘 모르겠지만 유치원의 원비가 요즘 한 달에 어느 정도 되는지 알고 계시나요?,부정,중립
카드 사용이 사립은 활성화되지 않고 있는데 공립은 우리가 권장을 하고 있다?,부정,긍정
공립은 지금 사용률이 제로입니다. 워낙 금액이 적다 보니까 현장학습 갈 때 발생되거나…….,부정,중립
"""과장님, 그것을 설명하실 필요는 없어요. 왜냐하면 100% 다 설치돼 있으면 뭐합니까, 결제율이 0%면 아무 의미 없는 것 아닙니까?""",중립,부정
"""그래서 인센티브를 줄 수 있는 방법을 연구하고 있습니다, 권장하기 위해서.""",긍정,중립
"""인센티브 문제는 저는 좀 아닌 것 같은데요. 이유가 과장님께서 소위 말해서 편의점에 가서 아주 소정의 금액을 구매하셔도 보통은 카드로 합니다. 당연히 카드가 돼 있고 현금을 보유하고 있는 율은 적습니다. 그런데 제가 봤을 때 그래서 현금을 하지 않고 카드로 하면 인센티브를 준다는 것이, 그것도 교육기관인 유치원에서 그렇다는 것이 저는 납득이 되지 않아요. 말씀하신 것처럼 카드 수수료가 부담이 된다면 카드 수수료에 대해서 우리 교육청이 그 방법을 강구해야지 카드결제를 유도하기 위해서 인센티브 사업을 주겠다…….""",중립,부정
무슨 시스템이요?,중립,부정
저희가 교육부에 건의도 하고 있는데요. 저희가 에듀파인이 도입되면서 프로그램하고 카드 결제하는 부분이 바로 연계가 돼서 업무적으로 쉬워야 되는데 지금 CMS나 스쿨뱅킹 같은 경우에는 결제처리과정이 바로 연결이 돼서 업무가 쉬운데 에듀파인이 3월에 전면 도입되면서 그 부분이 프로그램상 연계가 안 되어 있어서 추가적인 업무가 발생하고 있다 보니까 유치원에서 많이 이용을 못하는 부분도 있어요.,긍정,중립
교육부에 건의하는 것을 떠나서 우리 서울시교육청이 그런 방안을 강구해서 충분히 대책을 낼 수 있는 거잖아요? 카드결제가 원활하게 돼서 업무에 편리함을 줄 수 있는 것이 당연한 것 아닙니까? 지금 카드 수수료까지 전부 100% 보전하고 있는데?,긍정,중립
"""아니, 현금결제를 하면 에듀파인이 불러지고 카드결제로 하면 전자인데도 이게 불러지지 않는다는 것이 저는 그게 무슨 말인지, 그 자료를 저한테 주실래요?""",부정,중립
"""그다음에 현금결제를 하는 이유가 공립유치원이 9,200원 정도밖에 내지 않는다고 합니다. 그래서 오히려 학부모들이 불편해 한다고 합니다. 9,200원에 불과하기 때문에 그냥 현금을 선호한다 이렇게 보고를 받았습니다.""",부정,중립
"""좋습니다. 그러면 현금결제가 자동이체 형식을 말씀하시는 건데 그렇지 않게 하고 있는 유치원도 있는 것 같습니다. 아이들이랑 갔을 때 직접 가서 납부를 하는 경우도 있고요. 왜냐하면 유치원은 초등학교나 일반 각급 학교와는 다르게 아침마다 데려다 주는 경우가 많잖아요. 그때 현금을 냈을 때 학부모들이 불편함도 있는 것 같습니다. 그러니까 저는 아까도 말씀드렸지만 우리 교육청의 행정을 죽 보다 보면 일관성이 조금 부족하지 않나, 사실 우리 일반 행정공무원도 그렇고 교육청도 그렇고 전부 다 소위 말하는 동일성을 요구하지 않습니까? 사실상 같은 것은 같게 봐야 됩니다. 즉 같이 징수하는 거면 전체가 다 같아야 되는데 A와 B가 다르다면 안 되는 겁니다, 특히 모두가 해야 되는 상황에서는. 특히나 이런 것은 다를지언정 사실은 결제하는 부분이나 교육의 수혜를 받는 데 있어서는 동일한 조건으로 받아야 된다는 얘기인 거죠. 이점에 대해서 감안해 주시면 좋을 것 같고요. 마지막으로 간단하게 여쭤보면 저는 그래서 궁금한 것이 이렇게 받았을 때 우리가 지금 아이들 원비는 나가지 않는데 그 외에, 학교는 비용들이 전부 다 소득공제 되는 교육비로 충당이 된다고 얘기를 합니다. 유치원은 교육비 소득공제에서 제외된다는 민원들이 있었는데 그게 맞나요? 사실확인차 제가 여쭤보는 겁니다. 특별활동비라든지 그 외 비용은 소득공제 때 해당사항이 안 된다고 합니다. 유치원에서 교육비납입증명서를 발급할 때 근거가 뭡니까?""",긍정,중립
"""그전에 우리 교육청에 보면 학교환경교육 진흥 조례라고 있었어요. 그래서 그 조례 내용에 따라서 실질적으로 환경교육이 그렇게 원활하게 잘 되지는 않았던 것 같아요, 제가 봤을 때는. 정책국장님, 과거에 환경교육 관련해서 어땠어요?""",부정,중립
"""두 가지 관점에서 말씀을 드리면 한국에서 학습의 양이 너무 과다하게 학생들의 성장에 부담이 될 정도로 많다는 지적, 비판은 예전부터 있어 왔고요. 그럼에도 불구하고 학습량을 적정하게 유지하기 위해서 지금 최대치로 운영하고 있다고 생각을 합니다. 그래서 저희들은 지금 위원님의 말씀대로 기후위기는 현재뿐만 아니라 미래 후세까지의 삶의 문제이기 때문에 그 중요성의 인식을 충분히 하고 그 인식을 키우려고 노력하고 있고요. 그다음에 획일적으로 늘리지는 못해도 환경과목이 선택과목으로 있는데 학교에서 구성원들이 합의를 해서 환경과목을 선택할 수 있도록 안내를 하고 교육과정의 각 부분들에 보면 환경을 다루는 단원들이 포함돼 있는 교과가 꽤 있습니다. 그런 학교에서 꼭 과학과목이 아니어도 예를 들어서 윤리과목에 있어서도 환경과 자연윤리 이런 것을 다룰 수 있는 것으로 인식을 전환하고 제고할 수 있는 융합교육 쪽으로 안내를 하고, 이 부분은 저희 교육청뿐만 아니라 위원님이 지적하신 대로 많은 국민들의 공감이 확산되고 있기 때문에 앞으로 그런 쪽으로 갈 생각을 하고 있습니다.""",부정,긍정
"""네, 그렇게 하도록 하겠습니다.""",중립,긍정
"""네, 고생 많습니다. 사교육비 경감대책에 대해서 말씀드리겠습니다. 우리가 지금 사교육 경감 세부추진계획을 통해서 사교육비 경감을 시키기 위해서 노력하고 있는 것은 본 위원이 알고 있습니다. 그렇게 하고 계시죠?""",긍정,중립
이상입니다.,긍정,중립
"""인터넷 바칼로레아라고 하는 것을 IB라고 하는데요. 그게 스위스에 본부를 두고 있는 비영리기구에서 미래교육의 새로운 패러다임을 만들어서 많은 학교에 그 교육과정을 보급하고 있는데 선진국에서는 창의성 교육의 표준으로 알려져 있고요 전 세계적으로 확산되고 있는 추세입니다. 국내에는 외국인 학교, 외국 학교죠, 외국계 학교. 제주나 송도에 있는 학교에서 이런 IB 교육과정을 도입하고 있습니다.""",중립,긍정
"""IB 바칼로레아의 어떤 점수, 척도가 전 세계적으로 모든 대학에 통용이 될 정도로 이제 자리를 잡아가고 있는데 우리나라의 가장 큰 한계점은 입시라는 부분입니다, 한국의 입시. 한국의 입시제도하에서 이런 창의성 교육은 현실적으로 결코 도움이 되지 않기 때문에 만약에 IB를 도입하게 되면 외국에 있는 대학을 가야 되는 그런 상황이 되는 것이죠.""",부정,긍정
참 애석하네요.,부정,긍정
"""알겠습니다. 그렇게 하셔서 공백이 없도록 해주시고요. 마지막으로 자유학년제를 하다 보니까 학생들의 학력이 저하됐다, 이런 매스컴 보도를 내가 가끔 본 적이 있는데 제가 봤을 때는 이 매스컴이 잘못된 것 같다는 생각이 들어요. 왜냐하면 자유학년제라는 거는 학력 중심의 이런 평가보다는 뭔가 창의적이나 그다음에 학생들의 평가 방식이 달라져야 되는데 왜 학생들의 학력이 저하됐다 그러고 국제학업성취도평가인 PISA에서도 이 부분을 지적을 했단 말입니다. 그 부분에 대해서 우리 국장님 어떻게 생각을 하세요? 학력이 저하됐다, 평가가 나쁘게 나왔다, 그래서 수업방식이나 자유학년제 이런 것들의 방식이 좀 다르다, 이 부분에 대해서 나도 좀 헷갈려서 지금 여쭤보는 건데.""",부정,중립
저희들이 요즘에 정책을 세우면서 방향을 생각하는 건 구 학력의 개념과 미래 학력의 개념입니다.,중립,긍정
"""미래 학력은 생각하고 사유하면서 자기가 문제를 풀어나가는, 그리고 문제를 만들어 가는 이런 답이 없는 과정을 걷게 하는 거거든요. 이게 미래에 살아갈 수 있는 능력인데, 그래서 그런 것을 아까 위원님께서 말씀하신 대로 정확한 지적이세요. 정말 그런 자유학기제의 목표가 있는데 안타깝게도 아까도 말씀드렸듯이 대한민국에서는 기승전대학입시잖아요. 그러니까 수학이라든가 영어가 떨어졌다고 생각하는데 저희들이 판단할 때는 오히려 1학년 자유학년제 활동을 통해서 학생들의 자기주도성과 꿈과 목표가 분명해지면 자기주도성이라는 것은 동기를 유발시키고 학습의 욕구를 자극하기 때문에 훨씬 더 멀리갈 수 있다고 생각하고 있습니다.""",긍정,부정
"""알겠습니다. 국장님 생각이나 제 생각이 같은 것 같은데 최소한 중학교 3학년 중에서 1학년 정도는 그렇게 창의력이나 자기가 하고 싶은 것, 동아리 활동, 모든 것을 폭넓게 해서, 또 대학 가거나 이러면 공부를 하면 될 것이고 이렇게 생각이 드는데 너무 이런 쪽에 치우쳐서는 안 된다 이런 생각이 들어서 제가 여쭤보는 거예요. 이상입니다. 잘 좀 해 주십시오.""",긍정,중립
그래서 공영형 사립유치원이 잘 안 되니까 매입형 유치원으로 확대되고 있는 그런 의구심이 있는데 이 부분에 대해서 어떻게 생각하시는지요?,부정,긍정
"""몇 가지 장애요인이 부위원장님께서 말씀하신 대로 자산에 대한 인식이 있고요, 개방형으로 했을 때 자기의 의사결정 주도권을 뺏길 수 있다는 우려 이런 것들 때문에 공영형 사립유치원도 그런 생각을 갖고 있고, 매입형의 경우에는 어제도 부위원장님 지적하신 것 같은데 실제 잘 되는 유치원은 매입형을 원하지 않는 거고 잘 되지 않는 유치원 속에서 일부 희망하는 경우가 나타나는 그런 한계를 나타내고 있습니다.""",부정,긍정
"""취소된 것은 아니고 선정과정에서 미달된 부분이 있어서, 자격요건이 미달돼서 승인을 못했습니다.""",부정,중립
인가기준에 공간이 맞지가 않아서……. 죄송합니다. 자료 잠깐 보고 말씀드리겠습니다.,부정,중립
물론 하나유치원 같은 경우는 애초에 선정 시 나름대로 검토는 충분히 하셨죠?,긍정,중립
본 위원장한테 승인도 안 받고 이석하실 수 있나요?,중립,부정
가장 기본적인 것 아니에요?,긍정,중립
"""그렇게 넘어가고. 우리 국장님, 돌봄교실 선생님 오늘 파업 대처 잘 하고 계신가요?""",중립,긍정
학부모님들의 불편이 최소화될 수 있는 방법을 찾아서 지금 아마 조치를 하셨을 거라고 생각되는데 그렇게 하고 계신 거죠?,긍정,중립
"""위원님, 제가 지적하신 부분에 대해서는 정말 부끄럽고 뼈아프게 생각하고요.""",부정,긍정
"""그래서 그 여러 가지 내용들을 다 취합을 하고 공유를 하고 그렇게 하나요, 아니면 학교에 그냥 맡겨놓나요?""",부정,중립
대교는 그렇지 않습니다. 대교는 저희가 7월 20일에 MOU를 맺었는데 대교문화재단이 문화재단으로 학습지형이 아니고 문화재단에서 서울시에 3년 동안 이 경계선 지능 상담 일을 했습니다. 그래서 인력풀이 많이 있고 그 상담사가 있습니다.,부정,중립
"""그래서 의구심이 가는 게, 그런 내용을 알고 계셨죠?""",부정,중립
"""그래서 위에서 한번 해보라고 했나요, 아니면 우리 초등과에서 한번 하겠다고 한 건가요?""",부정,중립
"""결과적으로 학교 선생님이나 또는 유치원 원장님은 그 아이들이 방과 후 어떠어떠한 환경에서 가정으로, 물론 가정에 머무는 아이들도 있겠죠. 그 아이들의 어떤 면밀한 방과 후 현황에 대해서 다 파악을 하고 있다 이거죠?""",긍정,중립
그것은 기조실의 참여협력담당관 쪽에서 지역전문가들과 함께 사업을 하고 있습니다.,긍정,중립
이상입니다.,긍정,중립
그런데 그 취지와 다르게 지난 5년 동안의 통계를 살펴보면 사교육이 증가하고 방과후학교 교육이 저조해지는 그런 평가가 나왔어요. 이 부분은 알고 계신가요?,부정,중립
"""그리고 한 가지 더 말씀드리고자 하는 부분이 있는데 보통 방과후학교 학생들 중에 예체능, 취미, 교양 그런 사교육을 많이 받고 있는 학생들이 있어요. 그중에 사교육을 통해서든 학교 교육을 통해서든 특기생 발굴을 하는 부분들이 있는데 그 특기생들에 대한 전형에 대해서, 초등학생이 중학교로 입학하는 그런 가운데 특기생들의 재능을 살릴 수 있는 그런 기회가 주어져야 된다고 생각을 하는데 어떻게 생각하세요?""",긍정,중립
만약에 국장님께 안 하면 제가 부교육감께 여쭤보려고 했던 거니까 진행 중이니까 아시는 대로 답변해 주세요.,중립,부정
제가 부교육감께 질의하도록 하겠습니다. 아까 국장님께서 말씀하신 부분에 대해서는 동의하시죠?,긍정,중립
"""그렇다면 소질이 있는 특기생들에 대한 선발과정에서, 초등학교 특기생을 중학교로 선발하는 과정에서 어떠한 방식이 최적의 방식이라고 생각하세요?""",긍정,중립
그런 과정에서 선발을 하는데 그래도 학교마다의 어떤 기준은 가지고 있어야 되지 않느냐는 생각이 드는 거예요.,부정,긍정
"""그리고 또 다시 한번 우리 교육정책국장님, 원격수업 내실화 지원에 대해서 조금만 더 말씀드리도록 하겠습니다. 지난번에도 제가 대충 답변을 듣기는 했는데요 어려운 학생들 중에 지금 비대면으로 교육하는 과정에서 온라인 수업 중에 인터넷이 설치가 안 된 부분이 좀 있다고 그랬잖아요.""",긍정,중립
"""그런데 작년부터 약간 논란이 되었던 생태전환교육도 저는 마찬가지라고 생각을 했습니다. 그리고 공교롭게 제가 학교에서 교직에 있을 때 통합사회를 가르쳤고 제가 지리를 전공했어요. 그러니까 기후도 가르치고 생태계 이런 것들에 대해서 수업들을 많이 해봤고 특히나 사회 시간에 이런 내용들이 수업 중에 어떻게 이루어지는지 사실은 또 많이 봐왔습니다. 그래서 이런 생태 환경과 관련한 지속가능한 교육부터 시작해서 지속가능한 발전 이런 개념들이 이제 새롭게 들어오고 이것들이 사회교과뿐만 아니라 국어 또 과학 이런 데에 그런 이야기들이 많이 진행되는 것들을 봐왔죠. 그게 벌써 10년 전이에요. 그런데 지금 저희가 미세먼지 이런 게 심각해지고 완전히 가시적으로 이게 보이다 보니까, 미세먼지 심각하다, 그리고 또 이번에 팬데믹이라든지 이런 걸 겪으면서 사회적으로 또 기후변화 이게 제일 중요해, 이게 너무너무 우리 삶에 정말 필요한 얘기야, 이런 어떤 요구들이 눈에 보이니까, 그 변화들이나 이런 것들이. 그러니까 여기에 또 강조점이 주어지고 방점이 찍혀서 이게 어떤 교육과정에 또한 강제적으로 편성을 요청하는 이런 일들이 많아지는 것 같습니다. 그렇죠?""",부정,긍정
"""이번에 생태전환교육 학교 교육과정과 연계강화 필요라는 이런 주제들이 계속 나오고 있는데 중점과제 1, 2, 3, 서울시교육청에서 발간한 생태전환교육 중장기 발전계획을 보면 정말 전형적이에요. 첫 번째, 생태전환교육을 강화해야 된다. 그러니까 뭘 해야 되겠어요? 생태전환학교를 운영해야 되겠죠? 학교를 운영하려면 교과서가 필요하겠죠? 교과서를 가르치려면 전담강사가 필요하겠죠? 그러면 그분들이 수업을 지금 다 하기가 어려우니 협력지원단을 또 만들어야겠죠? 그러면 협력지원단과 그 강사들과 또 뭐 해야 됩니까? 세미나 해야 됩니다. 그리고 학교에 직접적으로 들어가서 활동을 하려면 시범학교 선정해야죠? 그리고 거기에 선도단 파견해야죠? 모든 행태들을 지금까지 이렇게 하고 계셨지 않습니까.""",긍정,중립
"""거기다가 이제 생태시민을 또 육성하시겠답니다. 그게 조금 있으면 생태시민혁신학교도 하시겠네요. 그렇죠? 지금 혁신학교가, 어제 제가 잠깐 말씀을 드렸는데 이게 다 분리되어 있는 것이 아니고, 지금 교육청의 그것을 2년 동안 죽 보니까 그런 생각이 듭니다. 생태시민혁신학교, 세계시민혁신학교, 다문화혁신학교, 마을결합혁신학교 이렇게 혁신학교에 다 네이밍 하시겠네요. 그러고 계시는 것 맞습니까?""",부정,중립
최근에 마을결합형이나 세계시민교육혁신학교는 맞는 것 같습니다.,중립,긍정
그것은 스타트죠. 거기에 대해서 어떻게 생각하세요? 그렇게 될 겁니까?,긍정,중립
통센이 그렇게 생기면서 지원청의 인력은 어느 정도 늘어난 건가요? 기존보다 몇 % 늘어났어요?,긍정,중립
그 이전에 제가 부교육감님께 질의를 했던 이유는 이전에도 교육감님께서 그런 이야기 하셨거든요. “이제 앞으로 향후에 지원청이 학교통합지원센터로 아마 변화될 것입니다. 학교통합지원센터가 지원청의 역할을 하게 될 것입니다.”라고 들었는데 맞습니까?,중립,긍정
"""지원이 목적이었고 감님의 그러한 견해에 따라서, 생각에 따라서 그렇게 설치를 했습니다. 그래서 지원하는 분야는 아시겠지만 학교폭력이 발생하거나 학교에서 그런 부분들을 처리하는데 과중한 업무가 돼서 그런 학교의 업무를 지원청으로 흡수했고요, 교권침해라든지 이런 부분 모든 것을 했고요. 그다음에 위기학생이라든가 이런 지원역할도 역시 거기에서 도와주고 있고요. 그리고 시간강사라든가 그날 당일 당일 교원들의 어떤 사정으로 인해서 결근이 되는 경우에 다급하게 학교에서 구할 수 없는 강사를 구해서 지원해 주기도 하고 그런 역할을 하기 때문에 학교에서는 부담이 많이 준 것이 사실입니다.""",긍정,중립
"""그게 무슨 말씀이냐면 이게 지금 혼선이 빚어지는데요 과의 정체성을 홍보를 잘 하기 위해서 과라는 이름 대신에 센터라는, 통합지원센터라는 명칭을 썼는데 그 안에 Wee센터가 포함돼 있고…….""",부정,중립
당연하죠.,긍정,부정
이상입니다.,긍정,중립
"""학생들이 많으면 선생님도 격무에 시달리게 되지만 학생들에 대한 수업의 질도 떨어지거든요, 교육의 질 자체가. 그럼에도 불구하고 학부모의 선호에 따라서, 저는 그 바탕이 분리교육욕구라고 생각하는데요. 지금 저희들이 생각하는 방안은 결국은 학급당 학생 수를 줄일 수 있게 하기 위해서 두 가지, 지금 여의도의 국회의원 일부가 20명 이하로 학습당 학생 수를 줄이자는 법령의 법안발의를 지금 준비하고 있는 걸로 저희들은 알고 있고요. 정원도 좀 더 확보해서 학급 수를 늘려줘야 하는데 또 교육부에서는, 결국은 기재부죠. 정원감축을 또 올해 806명이나 하는 통보를 해줬습니다. 그래서 교실을 더 증축해서 늘리고 해준다고 하더라도 공간이 늘어나면 또 전학요인의 수요가 발생을 해서 그 인원을 또 넘게 되고요. 이런 굉장히 악순환 되는 한계에 있습니다. 그래서 저희들은 가급적이면 그럼에도 불구하고 학생들의 학교 배분은 행정국 학교지원과에서 하는데요 저희들하고 계속 협력하면서 그것을 완화시킬 수 있는 방안을 계속해서 협의를 하고 있습니다.""",부정,긍정
하고는 있는데 급식은 아직 이르고 정책적으로 지금 해봐야 되겠다는 출발점에 와 있기 때문에 제가 그런 말씀을 드리는 거예요. 체육건강국과에서 급식은 전담하고 있어서 급식 식재료나 이런 부분은 그쪽에서 오는 줄 아는데…….,부정,중립
같이 해야지 모든 걸 한쪽에다 맡겨놓으면 잘 안 가는 경우가 많아서 그런 점 저런 점 함께 고려해 주시기 바란다는 뜻에서 제가 말씀을 드리는 겁니다.,부정,중립
지금 사립학교와 관련해서 보통 보게 되면 고교 무상교육도 시행되고 있고 또 재정결함보조금도 충분히 지급하고 있다 이렇게 보고요. 따라서 사립학교 운영에 공공성 및 책무성은 강화돼야 된다 우리 기관에서는 그렇게 요구하고 있는 상황이죠?,긍정,중립
또 한편에서 보면 그러함에도 불구하고 여전히 사학비리는 발생하고 있고 그런 거 아닌가요?,부정,중립
네. 그 점에서 고민이 많은 것 같습니다.,부정,긍정
"""또 한편 이렇게도 보실 수 있을 것 같아요. 그러니까 지금 국회의 사립학교법 개정을 보다 빠르게 나갈 수 있도록 어떤 동력 같은 식의 개념으로, 지금 우리가 하고 있는 이런 부분들이 촉매제 역할을 할 수도 있는 거 아닌가 하는 그런 생각도 좀 하고 있습니다. 그래서 이 부분에 대해서 사립이 진짜 이 시대에 맞는 사립으로 거듭나고 변화될 수 있는 걸 요구를 하는 거죠, 그러니까.""",중립,긍정
